Style,Price,Rating,Size,Season,NeckLine,SleeveLength,waiseline,Material,FabricType,Decoration,PatternType,Recommendation
Casual,Average,0.0,M,Summer,o-neck,threequarter,natural,nylon,broadcloth,NA,solid,1
cute,Average,47.0,L,Summer,o-neck,sleevless,natural,cotton,worsted,NA,print,0
bohemian,Low,47.0,free,Winter,o-neck,short,natural,nylon,NA,sashes,print,0
Casual,low,5.0,free,Spring,slash-neck,sleevless,empire,spandex,NA,NA,striped,1
Casual,Average,5.0,M,Winter,o-neck,sleevless,natural,NA,chiffon,sashes,solid,1
Casual,Average,43.0,free,Summer,o-neck,sleevless,natural,cotton,worsted,NA,striped,0
work,low,45.0,M,Winter,v-neck,threequarter,NA,NA,NA,NA,patchwork,0
Casual,Average,43.0,S,Spring,boat-neck,full,natural,cotton,NA,lace,patchwork,1
Casual,Average,44.0,L,Automn,o-neck,halfsleeve,natural,NA,dobby,lace,animal,0
sexy,Low,43.0,M,Automn,open,short,natural,lace,NA,lace,print,0
Casual,Low,46.0,free,Summer,o-neck,full,natural,cotton,worsted,lace,solid,1
Casual,low,46.0,L,Winter,o-neck,full,NA,cotton,NA,NA,NA,0
Casual,Average,46.0,M,Spring,o-neck,sleevless,natural,NA,chiffon,sashes,solid,1
Casual,low,0.0,free,Automn,peterpan-collor,threequarter,empire,NA,NA,NA,NA,0
Casual,Average,47.0,S,Spring,o-neck,halfsleeve,empire,NA,chiffon,NA,NA,1
Casual,Average,0.0,S,Summer,o-neck,sleevless,empire,cotton,NA,NA,solid,0
Casual,low,48.0,free,Summer,o-neck,sleevless,natural,cotton,NA,NA,print,1
Casual,Average,5.0,S,Winter,o-neck,sleevless,empire,polyster,chiffon,NA,plaid,0
Sexy,very-high,0.0,free,Winter,v-neck,sleevless,natural,polyster,knitting,NA,solid,0
Casual,low,44.0,free,Summer,o-neck,sleevless,natural,polyster,NA,sashes,print,0
Casual,Average,5.0,free,Summer,v-neck,sleevless,NA,modal,NA,NA,patchwork,0
Sexy,low,48.0,M,Automn,v-neck,full,natural,cotton,NA,NA,print,1
Casual,Average,46.0,free,Winter,v-neck,full,natural,cotton,flannel,NA,striped,0
Casual,Average,46.0,M,Winter,v-neck,full,natural,chiffonfabric,chiffon,NA,NA,0
Casual,low,5.0,S,Spring,o-neck,sleevless,natural,chiffonfabric,NA,NA,print,0
cute,Average,0.0,M,Winter,o-neck,short,natural,polyster,chiffon,sashes,solid,0
Casual,low,48.0,free,Spring,o-neck,sleevless,NA,chiffonfabric,chiffon,NA,print,1
Casual,Average,46.0,M,Automn,o-neck,short,empire,polyster,NA,applique,dot,0
Casual,Low,49.0,free,winter,o-neck,sleevless,empire,silk,NA,sashes,print,1
Casual,Average,47.0,L,Summer,o-neck,sleevless,natural,silk,chiffon,beading,solid,0
Casual,Medium,46.0,M,winter,o-neck,full,natural,cashmere,NA,NA,solid,1
Casual,Average,47.0,M,winter,v-neck,sleevless,empire,polyster,chiffon,applique,print,0
Sexy,Average,47.0,M,winter,v-neck,sleevless,natural,polyster,broadcloth,NA,patchwork,0
Casual,Average,35.0,M,winter,v-neck,short,natural,NA,NA,NA,solid,0
Casual,Average,48.0,M,winter,o-neck,threequarter,natural,NA,NA,NA,print,1
Casual,Average,0.0,M,winter,o-neck,full,natural,cotton,jersey,feathers,solid,1
Casual,low,46.0,M,Summer,o-neck,sleevless,natural,cotton,NA,sashes,striped,0
Casual,Average,47.0,L,Spring,v-neck,halfsleeve,natural,NA,broadcloth,NA,print,1
Casual,low,45.0,free,Summer,o-neck,full,natural,cotton,NA,button,solid,0
Casual,Average,47.0,M,Summer,o-neck,sleevless,natural,polyster,NA,NA,character,0
Casual,low,45.0,M,Winter,o-neck,short,natural,chiffonfabric,chiffon,NA,solid,0
Casual,low,47.0,S,summer,o-neck,full,natural,cotton,NA,NA,patchwork,0
cute,Low,0.0,free,Summer,boat-neck,sleevless,NA,cotton,NA,NA,print,0
Casual,Average,49.0,M,Automn,v-neck,sleevless,NA,polyster,NA,NA,NA,1
party,very-high,0.0,L,Winter,v-neck,sleevless,natural,polyster,tulle,beading,NA,0
party,very-high,0.0,M,Winter,v-neck,cap-sleeves,NA,NA,chiffon,lace,NA,0
Casual,Low,44.0,M,Winter,v-neck,turndowncollor,NA,cotton,NA,NA,NA,1
party,very-high,0.0,M,Spring,v-neck,threequater,natural,lycra,sattin,applique,NA,1
party,high,0.0,M,Winter,Sweetheart,sleevless,natural,NA,NA,pearls,NA,0
party,Average,5.0,M,Winter,o-neck,capsleeves,empire,polyster,NA,lace,NA,1
party,high,47.0,M,Winter,sweetheart,sleeveless,natural,NA,chiffon,flowers,NA,0
party,,48.0,free,Winter,o-neck,sleevless,empire,NA,NA,embroidary,NA,1
party,,45.0,L,Summer,,full,,,,,,1
party,very-high,49.0,M,Spring,Sweetheart,sleeevless,empire,NA,chiffon,beading,NA,1
party,high,46.0,M,winter,Sweetheart,sleevless,natural,NA,chiffon,NA,NA,0
party,Average,5.0,M,Spring,Sweetheart,sleevless,natural,polyster,NA,NA,NA,1
party,very-high,48.0,L,Spring,Sweetheart,sleevless,empire,microfiber,organza,beading,NA,1
party,very-high,0.0,M,Winter,Sweetheart,sleevless,natural,polyster,chiffon,beading,NA,1
party,high,46.0,L,Spring,slash-neck,sleevless,empire,silk,chiffon,beading,NA,0
party,Average,48.0,L,,Sweetheart,sleevless,empire,NA,NA,pleat,NA,1
party,Medium,46.0,S,Winter,Scoop,short,empire,NA,NA,crystal,NA,0
party,very-high,49.0,M,Spring,Sweetheart,sleevless,natural,silk,chiffon,beading,NA,1
party,Medium,48.0,S,Spring,v-neck,sleevless,empire,NA,NA,NA,NA,1
party,very-high,42.0,L,Winter,v-neck,sleevless,NA,NA,NA,lace,NA,1
Casual,Low,44.0,free,Summer,o-neck,sleevless,NA,NA,NA,NA,NA,1
party,very-high,41.0,M,Winter,Scoop,short,natural,cotton,lace,applique,NA,1
Casual,high,46.0,M,Summer,Sweetheart,sleevless,empire,NA,NA,beading,NA,1
party,Average,47.0,free,Winter,o-neck,sleevless,NA,polyster,NA,NA,NA,0
party,very-high,45.0,M,Spring,v-neck,cap-sleeves,NA,NA,NA,lace,NA,1
party,Average,47.0,free,Spring,Sweetheart,sleevless,empire,rayon,chiffon,beading,solid,1
party,Medium,47.0,M,Winter,o-neck,sleevless,empire,cotton,chiffon,button,NA,1
cute,Average,44.0,free,Spring,Sweetheart,sleevless,empire,spandex,tulle,ruched,solid,1
party,Average,5.0,M,Spring,o-neck,sleevless,NA,NA,NA,NA,NA,1
party,very-high,48.0,free,Spring,Sweetheart,sleevless,natural,polyster,chiffon,beading,NA,1
party,Medium,48.0,M,Spring,o-neck,sleevless,natural,silk,chiffon,crystal,NA,1
party,very-high,49.0,L,Spring,slash-neck,sleevless,NA,NA,chiffon,flowers,NA,1
party,Medium,0.0,free,Winter,v-neck,short,empire,NA,chiffon,lace,NA,1
work,Average,5.0,free,Winter,o-neck,half,NA,microfiber,NA,NA,NA,0
party,very-high,49.0,M,Spring,v-neck,sleevless,empire,NA,sattin,beading,NA,1
Casual,high,5.0,free,Summer,v-neck,sleevless,natural,nylon,NA,NA,NA,1
Casual,very-high,0.0,small,Spring,o-neck,full,NA,NA,chiffon,applique,NA,0
Casual,Medium,47.0,M,Spring,o-neck,sleevless,natural,cotton,NA,bow,NA,1
Casual,Average,44.0,free,Summer,slash-neck,sleevless,empire,cotton,NA,NA,NA,1
Casual,very-high,46.0,M,winter,o-neck,short,natural,NA,NA,flowers,NA,1
Casual,Low,44.0,free,winter,halter,sleevless,natural,NA,NA,draped,NA,1
party,high,45.0,M,winter,o-neck,sleevless,NA,NA,NA,NA,NA,1
Casual,Average,48.0,free,Summer,o-neck,sleevless,natural,NA,NA,NA,NA,0
Sexy,Average,5.0,M,Summer,o-neck,sleeveless,natural,polyster,broadcloth,rivet,NA,0
vintage,Average,49.0,free,Summer,o-neck,urndowncollor,empire,NA,NA,NA,NA,0
vintage,Average,47.0,S,Summer,turndowncollor,short,empire,cotton,NA,NA,NA,0
work,Average,49.0,M,Summer,sqare-collor,halfsleeve,empire,polyster,sattin,sashes,NA,0
Casual,low,47.0,L,Spring,o-neck,short,natural,chiffonfabric,chiffon,NA,NA,0
Casual,Average,48.0,L,Automn,o-neck,short,natural,cashmere,NA,NA,NA,0
Sexy,low,47.0,free,Spring,v-neck,sleeveless,NA,NA,NA,sequined,NA,1
Casual,Average,0.0,S,Winter,slash-neck,halfsleeve,natural,nylon,broadcloth,NA,NA,0
Casual,Average,42.0,S,Winter,v-neck,sleevless,empire,other,chiffon,hollowout,patchwork,0
Novelty,Average,0.0,free,Summer,o-neck,full,natural,cotton,sattin,hollowout,solid,0
Casual,Average,37.0,M,Summer,boat-neck,sleevless,natural,linen,NA,NA,NA,0
Casual,Average,5.0,free,winter,o-neck,sleevless,natural,polyster,broadcloth,lace,NA,1
Sexy,low,5.0,free,Spring,v-neck,sleevless,empire,NA,chiffon,NA,NA,0
cute,Low,0.0,free,Winter,o-neck,sleevless,natural,NA,chiffon,NA,NA,0
vintage,Average,48.0,M,Summer,v-neck,full,natural,rayon,poplin,NA,NA,1
bohemian,Average,48.0,L,Winter,o-neck,sleevless,natural,polyster,chiffon,NA,solid,0
bohemian,Average,0.0,free,Spring,o-neck,sleevless,natural,rayon,chiffon,NA,striped,1
Sexy,Average,45.0,M,Summer,bowneck,sleevless,NA,cotton,chiffon,NA,solid,0
Novelty,Medium,42.0,M,Winter,o-neck,halfsleeve,natural,polyster,chiffon,hollowout,animal,1
Casual,Low,5.0,free,Spring,v-neck,full,natural,cotton,NA,NA,solid,1
Casual,Average,5.0,L,Winter,o-neck,thressqatar,natural,polyster,NA,applique,solid,0
Casual,Low,48.0,M,Winter,v-neck,sleevless,natural,polyster,NA,NA,print,0
bohemian,Low,5.0,free,Spring,o-neck,short,natural,nylon,jersey,sashes,print,1
Casual,low,5.0,free,Spring,bowneck,sleevless,natural,silk,chiffon,applique,print,0
Casual,Low,5.0,M,Spring,o-neck,sleeevless,natural,chiffonfabric,chiffon,NA,solid,1
cute,Average,43.0,M,Summer,NULL,NULL,natural,cotton,chiffon,NA,solid,0
Novelty,Average,0.0,free,winter,o-neck,short,natural,polyster,broadcloth,lace,NA,1
cute,low,0.0,L,Spring,o-neck,sleevless,empire,NA,NA,NA,NA,1
Sexy,Low,48.0,free,Spring,slash-neck,sleevless,natural,cotton,broadcloth,sequined,solid,0
Sexy,Low,48.0,free,Summer,slash-neck,sleevless,empire,silk,NA,lace,solid,0
Casual,Low,44.0,M,Winter,o-neck,sleevless,natural,polyster,NA,NA,solid,0
Casual,Average,45.0,M,Winter,o-neck,sleevless,natural,polyster,chiffon,ruched,striped,0
Casual,Low,47.0,S,Summer,o-neck,full,natural,cotton,NA,NA,patchwork,0
Casual,low,44.0,free,Spring,o-neck,sleevless,natural,polyster,NA,sashes,print,0
work,Average,49.0,M,Winter,slash-neck,short,natural,polyster,broadcloth,ruffles,solid,0
cute,Medium,46.0,free,Spring,o-neck,short,natural,chiffonfabric,NA,hollowout,solid,1
Casual,Low,47.0,free,Spring,o-neck,halfsleeve,natural,silk,chiffon,sashes,print,0
